"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         249,      -7.855890531,       -5.62461625,      -5.208783291,      -2.369771041,      -10.43539144
          0,           0,         250,      -7.858432084,      -5.617693755,      -5.212350907,      -2.372413038,      -10.44554876
          0,           0,         251,      -7.874965025,      -5.660347561,      -5.225609196,      -2.389830696,      -10.46522225
          0,           0,         252,      -7.887015774,      -5.674277036,      -5.246167376,      -2.402131458,      -10.49590958
          0,           0,         253,      -7.900569085,        -5.6842597,      -5.271478728,      -2.415634725,      -10.52578074
          0,           0,         254,      -7.917795755,      -5.693373882,      -5.298771394,      -2.432550221,      -10.55326043
          0,           0,         255,      -7.937564927,      -5.704479333,      -5.323427255,      -2.451864636,      -10.57619032
          0,           0,         256,      -7.960284481,      -5.713895663,      -5.343445634,      -2.473880418,      -10.58982825
          0,           0,         257,       -7.98479979,      -5.721179327,      -5.357797598,      -2.497713227,      -10.59920478
          0,           0,         258,      -8.010884488,      -5.767547127,      -5.366927429,      -2.524255874,      -10.61320386
          0,           0,         259,      -8.014992824,      -5.780447141,      -5.367210186,      -2.528739025,      -10.62512037
          0,           0,         260,      -8.024762297,       -5.79331595,      -5.374574471,      -2.538959671,      -10.62905341
          0,           0,         261,      -8.039906428,      -5.825613501,      -5.391484304,      -2.554807064,      -10.65031998
          0,           0,         262,      -8.052740022,      -5.836195056,      -5.414669681,      -2.567742169,      -10.68150742
          0,           0,         263,      -8.067883919,      -5.846034445,      -5.441659303,      -2.582757221,      -10.71090589
          0,           0,         264,      -8.086531904,      -5.858007838,       -5.46888999,       -2.60108195,      -10.73793329
          0,           0,         265,      -8.106589922,      -5.868591211,      -5.492183515,      -2.620606794,      -10.75951592
          0,           0,         266,      -8.129538426,      -5.873434245,      -5.510454213,      -2.642701137,      -10.77239844
          0,           0,         267,      -8.156470686,      -5.893494961,      -5.523654467,      -2.669315006,      -10.78756625
          0,           0,         268,      -8.175994059,      -5.945553629,       -5.52845689,      -2.689498919,      -10.80531573
          0,           0,         269,      -8.176036053,      -5.933798217,      -5.530288272,      -2.689611319,      -10.81226706
          0,           0,         270,      -8.192508762,      -5.975715924,      -5.542095243,      -2.706973349,       -10.8285432
          0,           0,         271,      -8.205005673,      -5.994081571,      -5.561606218,      -2.719871658,      -10.86113432
          0,           0,         272,      -8.218171918,      -6.004070633,      -5.586477473,        -2.7330479,      -10.89383882
          0,           0,         273,      -8.234705015,      -6.012414509,      -5.613923097,      -2.749310047,      -10.92378048
          0,           0,         274,      -8.254143294,      -6.023876674,      -5.639399803,      -2.768334908,      -10.94942866
          0,           0,         275,      -8.276182568,      -6.033465976,      -5.660393295,      -2.789701287,      -10.96357121
          0,           0,         276,      -8.300181709,        -6.0378094,      -5.675727635,      -2.812891167,      -10.97008377
