"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      
        224,           0,          22,    -0.00147039714,      0.1581120799,                 0,                 0,                 0,     0.08181035329,    -0.00147039714,      0.1581120799,                 0,      -107.5301873,                 0
        225,           0,          21,  -0.0001291265105,      0.1874917517,                 0,                 0,                 0,     0.08559237837,  -0.0001291265105,      0.1874917517,                 0,      -1452.000452,                 0
        226,           0,          21,    0.001151045051,      0.2050237991,                 0,                 0,                 0,     0.08396812024,    0.001151045051,      0.2050237991,                 0,       178.1196999,                 0
        227,           0,          21,    0.002051280874,      0.2096092223,                 0,                 0,                 0,     0.07703039875,    0.002051280874,      0.2096092223,                 0,       102.1845545,                 0
        228,           0,          20,    0.002352477123,       0.200934502,                 0,                 0,                 0,     0.06519746552,    0.002352477123,       0.200934502,                 0,       85.41400895,                 0
        229,           0,          21,    0.001975091402,      0.1796464397,                 0,                 0,                 0,     0.04929853589,    0.001975091402,      0.1796464397,                 0,        90.9560132,                 0
        230,           0,          21,    0.001012430905,      0.1471272208,                 0,                 0,                 0,     0.03031669918,    0.001012430905,      0.1471272208,                 0,       145.3207523,                 0
        231,           0,          22,  -0.0002937847449,      0.1054658205,                 0,                 0,                 0,    0.009492757064,  -0.0002937847449,      0.1054658205,                 0,       -358.990119,                 0
        232,           0,          22,   -0.001614394519,     0.05720939861,                 0,                 0,                 0,    -0.01191494293,   -0.001614394519,     0.05720939861,                 0,      -35.43706196,                 0
        233,           0,          22,    -0.00263060423,    0.005349051408,                 0,                 0,                 0,    -0.03257797866,    -0.00263060423,    0.005349051408,                 0,      -2.033392689,                 0
        234,           0,          22,   -0.003094930784,    -0.04688368688,                 0,                 0,                 0,    -0.05121288618,   -0.003094930784,    -0.04688368688,                 0,       15.14854132,                 0
        235,           0,          22,   -0.002886726641,    -0.09622630578,                 0,                 0,                 0,    -0.06665862547,   -0.002886726641,    -0.09622630578,                 0,        33.3340554,                 0
        236,           0,          22,   -0.002054182704,     -0.1395805438,                 0,                 0,                 0,    -0.07794465152,   -0.002054182704,     -0.1395805438,                 0,       67.94942997,                 0
        237,           0,          21,  -0.0008076034014,     -0.1742026897,                 0,                 0,                 0,    -0.08434967328,  -0.0008076034014,     -0.1742026897,                 0,        215.703264,                 0
        238,           0,          21,   0.0005461916314,     -0.1978279369,                 0,                 0,                 0,    -0.08543416191,   0.0005461916314,     -0.1978279369,                 0,      -362.1951079,                 0
        239,           0,          21,    0.001671358747,     -0.2089669818,                 0,                 0,                 0,    -0.08111441666,    0.001671358747,     -0.2089669818,                 0,      -125.0282037,                 0
        240,           0,          20,    0.002290517529,     -0.2068836647,                 0,                 0,                 0,    -0.07163822139,    0.002290517529,     -0.2068836647,                 0,      -90.32179937,                 0
        241,           0,          20,    0.002252859006,     -0.1917440657,                 0,                 0,                 0,    -0.05764693604,    0.002252859006,     -0.1917440657,                 0,      -85.11143625,                 0
        242,           0,          21,    0.001557795108,     -0.1646246444,                 0,                 0,                 0,    -0.04007204939,    0.001557795108,     -0.1646246444,                 0,      -105.6779827,                 0
        243,           0,          21,   0.0003841747673,     -0.1272378574,                 0,                 0,                 0,    -0.02000403046,   0.0003841747673,     -0.1272378574,                 0,      -331.1978511,                 0
        244,           0,          22,  -0.0009718471565,    -0.08195558174,                 0,                 0,                 0,    0.001260706622,  -0.0009718471565,    -0.08195558174,                 0,       84.32970266,                 0
        245,           0,          22,   -0.002177242456,    -0.03153098876,                 0,                 0,                 0,     0.02244708661,   -0.002177242456,    -0.03153098876,                 0,        14.4820751,                 0
        246,           0,          22,    -0.00294199144,     0.02091001052,                 0,                 0,                 0,     0.04224351521,    -0.00294199144,     0.02091001052,                 0,      -7.107434181,                 0
        247,           0,          22,   -0.003077974886,      0.0720923396,                 0,                 0,                 0,     0.05941695165,   -0.003077974886,      0.0720923396,                 0,      -23.42200384,                 0
        248,           0,          22,   -0.002542824896,      0.1188069318,                 0,                 0,                 0,      0.0728903365,   -0.002542824896,      0.1188069318,                 0,      -46.72241964,                 0
        249,           0,          22,   -0.001470234667,      0.1581098828,                 0,                 0,                 0,     0.08180951332,   -0.001470234667,      0.1581098828,                 0,       -107.540576,                 0
        250,           0,          21,  -0.0001289389161,      0.1874885897,                 0,                 0,                 0,     0.08559104802,  -0.0001289389161,      0.1874885897,                 0,      -1454.088458,                 0
