"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         185,       -3.50359683,      -0.940658172,      -1.512316397,       1.904715667,      -5.494294087
          0,           0,         186,      -3.503975639,     -0.9432023031,       -1.51425802,       1.904195147,      -5.492558264
          0,           0,         187,      -3.504656872,     -0.9457420913,      -1.516393504,       1.903390768,      -5.490749325
          0,           0,         188,      -3.506235378,     -0.9482571411,      -1.518454954,       1.901627746,      -5.488867438
          0,           0,         189,      -3.508257217,      -0.950767822,      -1.519877107,       1.899548098,      -5.486914657
          0,           0,         190,        -3.5104483,     -0.9532490044,      -1.520602225,        1.89748604,      -5.484887353
          0,           0,         191,      -3.513631706,     -0.9557129009,       -1.52162334,       1.894396996,       -5.48278611
          0,           0,         192,      -3.517150322,     -0.9581736564,      -1.522785598,       1.891108234,       -5.48060979
          0,           0,         193,      -3.520518701,     -0.9606136781,      -1.523592499,       1.888074325,      -5.478356396
          0,           0,         194,      -3.523633705,     -0.9630248573,      -1.523794672,       1.885267302,      -5.476024529
          0,           0,         195,      -3.526367521,     -0.9654124773,      -1.523393152,       1.882767607,      -5.473613506
          0,           0,         196,      -3.528697926,     -0.9677939544,      -1.522800876,       1.880611568,      -5.471126118
          0,           0,         197,      -3.530746757,     -0.9701960691,      -1.522396424,       1.878677579,      -5.468561423
          0,           0,         198,      -3.532690721,     -0.9726195147,      -1.522311042,       1.876753542,      -5.465920044
          0,           0,         199,      -3.534567278,     -0.9750862271,      -1.522825648,       1.874772313,      -5.463203412
          0,           0,         200,      -3.536266194,     -0.9775936293,       -1.52386624,       1.872979962,      -5.460411935
          0,           0,         201,      -3.537852915,     -0.9801418311,      -1.525205385,       1.871303979,      -5.457546945
          0,           0,         202,      -3.539320914,     -0.9827222353,      -1.526770327,       1.869724867,      -5.454607437
          0,           0,         203,      -3.540585177,     -0.9853127698,      -1.528228746,       1.868308465,      -5.451595876
          0,           0,         204,      -3.541527362,      -0.987881581,      -1.529330117,       1.867186345,      -5.448512489
          0,           0,         205,      -3.542136648,     -0.9904354346,      -1.530240322,       1.866392014,      -5.445359029
          0,           0,         206,       -3.54251506,     -0.9929697679,      -1.530909818,       1.865806092,       -5.44213352
          0,           0,         207,      -3.542708588,     -0.9954823627,      -1.531390814,       1.865393901,      -5.438834109
          0,           0,         208,       -3.54270063,     -0.9979646715,      -1.531793559,        1.86519442,      -5.435460636
          0,           0,         209,      -3.542547425,      -1.000418196,      -1.532084404,       1.865143356,      -5.432013028
          0,           0,         210,       -3.54227407,      -1.002847911,      -1.532229255,       1.865212671,      -5.428491766
          0,           0,         211,         -3.541882,      -1.005258002,      -1.532167471,       1.865401816,      -5.424896222
          0,           0,         212,      -3.541361997,      -1.007650236,      -1.531981171,       1.865729439,      -5.421226952
          0,           0,         213,      -3.540739957,      -1.010021776,      -1.531688487,       1.866162963,      -5.417484534
          0,           0,         214,       -3.54001548,      -1.012376947,      -1.531314748,       1.866702566,      -5.413669396
