"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity:0","Velocity:1","Velocity:2","Coordinates:0","Coordinates:1","Coordinates:2","Exact Velocity:0","Exact Velocity:1","Exact Velocity:2","Exact Pressure:0","Exact Pressure:1","Exact Density:0","Exact Density:1","Exact Mach:0","Exact Mach:1","Exact Temperature:0","Exact Temperature:1","Mach_error","Points:0","Points:1","Points:2"
1.80338144e+00,1.06563037e+03,2.19209106e+02,0.00000000e+00,7.91954125e+05,1.85514828e+05,3.58361511e+02,1.58967805e+00,3.05410087e-01,5.90906807e+02,1.21554487e+02,0.00000000e+00,3.57400000e-01,2.28617549e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,-1.77589718e-03,3.57400000e-01,2.28617549e-01,0.00000000e+00
1.29352510e+00,8.68141541e+02,4.18715439e+01,0.00000000e+00,5.84820938e+05,1.16992211e+05,3.14498291e+02,1.89435482e+00,6.06864765e-02,6.72045673e+02,3.11734727e+01,0.00000000e+00,2.24772082e-01,3.00000000e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.05645180e-01,2.24772081e-01,3.00000012e-01,0.00000000e+00
1.06125116e+00,7.15778381e+02,-1.34040642e+01,0.00000000e+00,4.79997969e+05,9.54116172e+04,3.13194000e+02,1.90143275e+00,-1.63870677e-02,6.74466522e+02,-1.26304353e+01,0.00000000e+00,1.42489302e+00,1.39543802e-01,0.00000000e+00,6.87285044e+02,0.00000000e+00,0.00000000e+00,1.00313005e+05,0.00000000e+00,1.14602550e+00,0.00000000e+00,1.96332138e+00,0.00000000e+00,3.04925191e+02,0.00000000e+00,-6.18886273e-02,1.42489302e+00,1.39543802e-01,0.00000000e+00
1.72477782e+00,9.86701782e+02,1.97878494e+02,0.00000000e+00,7.51110375e+05,1.83010328e+05,3.69634735e+02,1.51383936e+00,2.96465456e-01,5.72074717e+02,1.14726948e+02,0.00000000e+00,4.24497008e-01,1.72574937e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,-7.76145822e-02,4.24497008e-01,1.72574937e-01,0.00000000e+00
1.02086914e+00,6.72671326e+02,-1.08081188e+01,0.00000000e+00,4.58969938e+05,9.49177422e+04,3.23897552e+02,1.82656944e+00,-1.81509145e-02,6.58920230e+02,-1.05871737e+01,0.00000000e+00,1.32704222e+00,1.00220144e-01,0.00000000e+00,6.87285044e+02,0.00000000e+00,0.00000000e+00,1.00313005e+05,0.00000000e+00,1.14602550e+00,0.00000000e+00,1.96332138e+00,0.00000000e+00,3.04925191e+02,0.00000000e+00,-1.36751942e-01,1.32704222e+00,1.00220144e-01,0.00000000e+00
1.14113498e+00,7.96377014e+02,-5.87999582e+00,0.00000000e+00,5.21959844e+05,9.76212656e+04,2.98009735e+02,2.01668620e+00,-8.49548448e-03,6.97889562e+02,-5.16599088e+00,0.00000000e+00,1.11873918e-01,3.00000000e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,1.66862011e-02,1.11873917e-01,3.00000012e-01,0.00000000e+00
1.43476248e+00,9.02479126e+02,9.68320160e+01,0.00000000e+00,6.37317375e+05,1.40086328e+05,3.40130920e+02,1.71108210e+00,1.43165484e-01,6.29009428e+02,6.74899278e+01,0.00000000e+00,5.97424150e-01,2.14933231e-01,0.00000000e+00,5.95046863e+02,1.16139413e+02,0.00000000e+00,1.79971053e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,1.60044409e+00,0.00000000e+00,3.57075726e+02,0.00000000e+00,1.10638010e-01,5.97424150e-01,2.14933231e-01,0.00000000e+00
1.73830664e+00,1.00827698e+03,2.01271896e+02,0.00000000e+00,7.59543188e+05,1.82189375e+05,3.65112762e+02,1.54410219e+00,2.93533504e-01,5.80034013e+02,1.15786186e+02,0.00000000e+00,3.75573993e-01,1.72890469e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,-4.73517543e-02,3.75573993e-01,1.72890469e-01,0.00000000e+00
1.43872786e+00,8.75438416e+02,1.05161354e+02,0.00000000e+00,6.34755125e+05,1.45827219e+05,3.53093964e+02,1.62691164e+00,1.63668633e-01,6.08480897e+02,7.30932912e+01,0.00000000e+00,5.51315844e-01,1.80491462e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,3.54576939e-02,5.51315844e-01,1.80491462e-01,0.00000000e+00
1.16104496e+00,8.06317505e+02,-1.99878197e-02,0.00000000e+00,5.29939562e+05,9.99822422e+04,2.99988190e+02,2.00012016e+00,-6.34424359e-05,6.94475686e+02,-1.72153741e-02,0.00000000e+00,-1.06312215e-01,3.00000000e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,1.20162964e-04,-1.06312215e-01,3.00000012e-01,0.00000000e+00
